Year,Month,TotalOrders,UniqueCustomers,MonthlyRevenue,AvgTransactionValue
2010,12,1400,885,572713.89,21.89524372061016
2011,1,987,741,569445.04,26.82392199349946
2011,2,997,758,447137.35,22.43876900687509
2011,3,1321,974,595500.76,21.913551425942963
2011,4,1149,856,469200.36100000003,20.72256695521597
2011,5,1555,1056,678594.56,23.96167231638418
2011,6,1393,991,661213.6900000001,24.322740114033476
2011,7,1331,949,600091.011,22.370587548928242
2011,8,1280,935,645343.9,23.895430814233347
2011,9,1755,1266,952838.382,23.804296542420307
2011,10,930,736,511928.54,21.542187342198282
